COMMAND   PID     USER   FD      TYPE DEVICE SIZE/OFF    NODE NAME
conda   14991 khushiii  cwd       DIR   0,37     1562 1979616 /home/khushiii/vikaas
conda   14991 khushiii  rtd       DIR   0,38      178     256 /
conda   14991 khushiii  txt       REG   0,38    11704  461079 /usr/bin/python3.14
conda   14991 khushiii  mem       REG   0,36           461079 /usr/bin/python3.14 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           182614 /usr/lib64/libpcre2-8.so.0.15.0 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            38554 /usr/lib64/libselinux.so.1 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            38610 /usr/lib64/libsqlite3.so.3.50.2 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           475398 /usr/lib64/librpm_sequoia.so.1 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           180400 /usr/lib64/libcrypt.so.2.0.0 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            38459 /usr/lib64/libpopt.so.0.0.2 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           181456 /usr/lib64/liblua-5.4.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           458036 /usr/lib64/libresolv.so.2 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           458659 /usr/lib64/libkrb5support.so.0.1 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           458651 /usr/lib64/libk5crypto.so.3.1 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           458657 /usr/lib64/libkrb5.so.3.3 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            38546 /usr/lib64/libsasl2.so.3.0.0 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            37820 /usr/lib64/libevent-2.1.so.7.0.1 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            38698 /usr/lib64/libunistring.so.5.0.0 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            38920 /usr/lib64/libzck.so.1.5.1 (path dev=0,38)
