COMMAND   PID     USER   FD   TYPE DEVICE SIZE/OFF    NODE NAME
python  15047 khushiii  cwd    DIR   0,37     1534 1979616 /home/khushiii/vikaas
python  15047 khushiii  rtd    DIR   0,38      178     256 /
python  15047 khushiii  txt    REG   0,37 17504824 2141392 /home/khushiii/.conda/envs/vikaas_ppe/bin/python3.10
python  15047 khushiii  mem    REG   0,36          2141392 /home/khushiii/.conda/envs/vikaas_ppe/bin/python3.10 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150195 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/_polars_runtime_32/_polars_runtime.abi3.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2141373 /home/khushiii/.conda/envs/vikaas_ppe/lib/libtk8.6.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2141372 /home/khushiii/.conda/envs/vikaas_ppe/lib/libtcl8.6.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158970 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/matplotlib/backends/_backend_agg.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2153914 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/kiwisolver/_cext.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158889 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/matplotlib/ft2font.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2146037 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/triton/_C/libtriton.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158976 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/matplotlib/backends/_tkagg.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175011 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libcudart.e8e8b82a.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175013 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libnvjpeg.8dd2b5e6.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2174807 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision/_C.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150336 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libfreetype-ee1c40c4.so.6.20.4 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139530 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/unicodedata.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150350 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libzstd-761a17b6.so.1.5.7 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2141367 /home/khushiii/.conda/envs/vikaas_ppe/lib/libcrypto.so.3 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171279 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libtorch_nvshmem.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171241 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libtorch_cuda.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171231 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libtorch_cpu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171281 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libtorch_python.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150491 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/nvtx/lib/libnvToolsExt.so.1 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150704 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cufile/lib/libcufile.so.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150572 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/nvshmem/lib/libnvshmem_host.so.3 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150629 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/nccl/lib/libnccl.so.2 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158784 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cusolver/lib/libcusolver.so.11 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2145707 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cusparselt/lib/libcusparseLt.so.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158387 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cusparse/lib/libcusparse.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158832 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/matplotlib/_image.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150606 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/nvjitlink/lib/libnvJitLink.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150680 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/curand/lib/libcurand.so.10 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158422 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cufft/lib/libcufft.so.11 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158838 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/matplotlib/_path.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158818 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/matplotlib/_c_internal_utils.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150919 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_cupti/lib/libcupti.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140704 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_cn.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2154962 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/81d243bd2c585b0f4821__mypyc.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150851 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_nvrtc/lib/libnvrtc-builtins.so.12.8 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151655 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_generator.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150856 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_nvrtc/lib/libnvrtc.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151649 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/mtrand.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158461 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cudnn/lib/libcudnn.so.9 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139849 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_jp.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151935 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/fft/_pocketfft_umath.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150951 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cublas/lib/libcublas.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2141173 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_kr.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175016 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libwebp.87a45f40.so.7 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150958 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cublas/lib/libcublasLt.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171228 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libgomp.so.1 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139491 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_hk.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175012 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libjpeg.4af9affd.so.8 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150826 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_runtime/lib/libcudart.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139518 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_tw.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151653 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_pcg64.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
