epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.611,1.40708,2.57881,1.33557,0.92642,0.05665,0.42579,0.2444,1.30314,2.86369,1.19506,0.000543038,0.000543038,0.000543038
2,513.662,1.39548,1.63217,1.30874,0.58571,0.33766,0.39222,0.21236,1.45902,2.45274,1.32634,0.000989933,0.000989933,0.000989933
3,1062.05,1.37386,1.50809,1.2805,0.49229,0.45285,0.40662,0.20448,1.60175,2.64626,1.59099,0.00132681,0.00132681,0.00132681
4,1322.21,1.31905,1.39622,1.26678,0.68949,0.63864,0.68953,0.39182,1.36892,1.71478,1.31143,0.0011719,0.0011719,0.0011719
5,1584.52,1.34556,1.33506,1.27674,0.74568,0.66419,0.73706,0.43527,1.3215,1.44368,1.29103,0.00100687,0.00100687,0.00100687
6,1888.01,1.26366,1.22661,1.22712,0.74315,0.695,0.75573,0.44765,1.30787,1.32567,1.24219,0.000841835,0.000841835,0.000841835
7,2150.02,1.16898,1.13554,1.16505,0.81254,0.74502,0.82286,0.50898,1.20667,1.13306,1.16489,0.000676802,0.000676802,0.000676802
8,2443.83,1.14855,1.08053,1.14796,0.79183,0.7482,0.8184,0.54287,1.14513,1.07571,1.13917,0.000511769,0.000511769,0.000511769
9,2742.93,1.06366,0.97309,1.10284,0.85125,0.77907,0.86662,0.58118,1.09127,1.00696,1.09605,0.000346736,0.000346736,0.000346736
10,3028.73,1.03295,0.92262,1.08354,0.85702,0.80225,0.88143,0.60166,1.06726,0.93537,1.07796,0.000181703,0.000181703,0.000181703
